Audi;100;must;esivedu;manuaal;06/1994;bensiin;2.6 (110 kW);282 228 km;1000 EUR;500 EUR;https://www.auto24.ee/used/3352692
Audi;80;tumehall (peaaegu must siiski);esivedu;manuaal;1994;bensiin;2.0 (66 kW);332 000 km;500 EUR;;https://www.auto24.ee/used/3355901
Audi;80;roheline;esivedu;manuaal;06/1993;bensiin;2.0 (66 kW);269 932 km;500 EUR;;https://www.auto24.ee/used/3362418
Audi;A3;valge;esivedu;manuaal;08/1997;bensiin;1.8 Turbo (110 kW);197 000 km;800 EUR;500 EUR;https://www.auto24.ee/used/3354233
Audi;A6;tumeroheline met.;esivedu;automaat;01/1995;diisel;2.5 Tdi (85 kW);340 000 km;500 EUR;;https://www.auto24.ee/used/2715716
Audi;A6;valge;esivedu;manuaal;03/1996;diisel;1.9 1.9TDI (66 kW);;500 EUR;;https://www.auto24.ee/used/3362410
Audi;80;punane met.;esivedu;manuaal;08/1994;bensiin;2.0 (66 kW);;820 EUR;550 EUR;https://www.auto24.ee/used/3242779
Audi;A4;punane;esivedu;automaat;01/1996;bensiin;1.8 (92 kW);283 000 km;590 EUR;;https://www.auto24.ee/used/3361009
Audi;A6;punane;esivedu;manuaal;09/1994;bensiin;2.0 (85 kW);311 000 km;599 EUR;;https://www.auto24.ee/used/3360579
Audi;A4;roheline met.;nelikvedu;manuaal;11/2000;diisel;1.9 (85 kW);;1200 EUR;600 EUR;https://www.auto24.ee/used/3317231
Audi;A4;tumeroheline;esivedu;automaat;02/1996;bensiin;2.6 (110 kW);247 200 km;;600 EUR;https://www.auto24.ee/used/3354826
Audi;A4;roheline met.;esivedu;manuaal;01/1997;bensiin;1.8 R4 20V (92 kW);278 002 km;900 EUR;600 EUR;https://www.auto24.ee/used/3361540
Audi;A4;tumepunane met.;esivedu;manuaal;04/1997;bensiin;1.6 (74 kW);291 000 km;800 EUR;650 EUR;https://www.auto24.ee/used/3362349
Audi;A4;hõbedane met.;esivedu;manuaal (5k);12/1996;bensiin;1.8 R4 (92 kW);340 000 km;650 EUR;;https://www.auto24.ee/used/3362124
Audi;A6;;esivedu;automaat;2000;diisel;2.5 (110 kW);380 000 km;650 EUR;;https://www.auto24.ee/used/3338399
Audi;A4;punane;esivedu;manuaal;01/1997;bensiin;1.6 R4 (74 kW);287 000 km;1000 EUR;699 EUR;https://www.auto24.ee/used/3326152
Audi;A6;hall;esivedu;automaat;06/1998;bensiin;2.4 V6 (121 kW);305 000 km;;699 EUR;https://www.auto24.ee/used/3357680
Audi;80;hall met.;esivedu;manuaal;01/1994;bensiin;2.0 R4 (85 kW);390 000 km;750 EUR;700 EUR;https://www.auto24.ee/used/3356594
Audi;80;punane;esivedu;;1993;bensiin;2.0 (85 kW);268 000 km;900 EUR;700 EUR;https://www.auto24.ee/used/3353620
Audi;A3;hõbedane;esivedu;manuaal;04/1998;diisel;1.9 (66 kW);;1000 EUR;700 EUR;https://www.auto24.ee/used/3304343
Audi;A6;must;esivedu;manuaal;1998;bensiin;1.8 (110 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3362428
Audi;A6;sinine met.;esivedu;automaat;11/1999;diisel;1.9 (81 kW);;1100 EUR;700 EUR;https://www.auto24.ee/used/3359183
Audi;A6;valge;esivedu;automaat;1995;bensiin;2.6 V6 (110 kW);504 000 km;800 EUR;700 EUR;https://www.auto24.ee/used/3361284
Audi;A3;must;esivedu;manuaal;02/1998;bensiin;1.6 (74 kW);284 700 km;;750 EUR;https://www.auto24.ee/used/3362095
Audi;A4;tumesinine;esivedu;manuaal;03/2002;bensiin;2.0 (96 kW);;1200 EUR;750 EUR;https://www.auto24.ee/used/3361707
Audi;A4;tumesinine;esivedu;automaat;06/1997;bensiin;2.6 (110 kW);;;750 EUR;https://www.auto24.ee/used/3350887
