Audi;A3;must;esivedu;manuaal;06/1997;bensiin;1.8 5v (92 kW);225 000 km;1500 EUR;650 EUR;https://www.auto24.ee/used/3422251
Audi;A4;hõbedane;esivedu;manuaal;03/1996;bensiin;1.8 (92 kW);353 977 km;1000 EUR;650 EUR;https://www.auto24.ee/used/3421040
Audi;100;hall;esivedu;manuaal;1987;bensiin;1.8 (55 kW);;950 EUR;699 EUR;https://www.auto24.ee/used/3418034
Audi;A3;hõbedane met.;esivedu;automaat;11/1996;bensiin;1.8 (92 kW);224 000 km;699 EUR;;https://www.auto24.ee/used/3421193
Audi;100;valge;esivedu;manuaal;1991;bensiin;2.0 8v (85 kW);;700 EUR;;https://www.auto24.ee/used/3421627
Audi;A6;tumepunane;esivedu;manuaal;02/1998;bensiin;2.4 (121 kW);414 800 km;;750 EUR;https://www.auto24.ee/used/3387243
Audi;A6;;nelikvedu;;05/1999;;2.4 v6 (121 kW);;750 EUR;;https://www.auto24.ee/used/3422905
Audi;80;hall met.;esivedu;manuaal;09/1994;bensiin;2.0 (66 kW);297 739 km;780 EUR;;https://www.auto24.ee/used/3416593
Audi;90;punane met.;esivedu;manuaal;1991;bensiin;2.3 R5 (98 kW);249 000 km;1500 EUR;800 EUR;https://www.auto24.ee/used/2033467
Audi;A3;roheline;esivedu;manuaal;01/1998;bensiin;1.6 (74 kW);299 000 km;999 EUR;800 EUR;https://www.auto24.ee/used/3417889
Audi;A4;hall;esivedu;manuaal;11/1998;bensiin;2.4 V6 (121 kW);372 000 km;900 EUR;800 EUR;https://www.auto24.ee/used/3372200
Audi;A6;punane;esivedu;manuaal;09/1994;bensiin;2.0 (85 kW);317 000 km;1250 EUR;800 EUR;https://www.auto24.ee/used/3414424
Audi;A6;hall;nelikvedu;automaat;02/1999;bensiin;2.4 (121 kW);319 000 km;1500 EUR;800 EUR;https://www.auto24.ee/used/3412531
Audi;80;tumehall met.;esivedu;manuaal;07/1991;bensiin;1.6 R4 (51 kW);214 600 km;1000 EUR;850 EUR;https://www.auto24.ee/used/3414223
Audi;A6;;nelikvedu;;09/1997;;2.8 (142 kW);;1100 EUR;850 EUR;https://www.auto24.ee/used/3415250
Audi;80;must (must pärlmutter.);esivedu;manuaal;1992;bensiin;2.0 (85 kW);305 000 km;1200 EUR;899 EUR;https://www.auto24.ee/used/3411321
Audi;A3;must met.;esivedu;manuaal;11/1999;bensiin;1.6 (75 kW);283 000 km ·;999 EUR;899 EUR;https://www.auto24.ee/used/3411546
Audi;A6;tumeroheline met.;esivedu;manuaal;05/1998;bensiin;2.8 (142 kW);230 000 km;1100 EUR;899 EUR;https://www.auto24.ee/used/3417070
Audi;A3;hõbedane;esivedu;manuaal;01/2000;diisel;1.9 (66 kW);;900 EUR;;https://www.auto24.ee/used/3422987
Audi;A4;hall met.;esivedu;manuaal;06/1996;bensiin;1.8 (110 kW);335 000 km;;900 EUR;https://www.auto24.ee/used/3417536
Audi;A4;;nelikvedu;manuaal;01/2002;bensiin;3.0 v6 (162 kW);325 000 km;900 EUR;;https://www.auto24.ee/used/3422900
Audi;A6;tumelilla;esivedu;automaat;1998;bensiin;2.8 (142 kW);372 000 km;1500 EUR;900 EUR;https://www.auto24.ee/used/3389292
Audi;A6;hall;esivedu;automaat;02/1999;bensiin;2.4 (121 kW);330 000 km;950 EUR;;https://www.auto24.ee/used/3389899
Audi;A3;tumepunane;esivedu;manuaal;02/2000;bensiin;1.6 (74 kW);184 000 km;1250 EUR;990 EUR;https://www.auto24.ee/used/3414182
Audi;A4;must;esivedu;automaat;06/2003;diisel;2.5 (120 kW);320 000 km;;999 EUR;https://www.auto24.ee/used/3418880
Audi;A3;tumepunane met.;esivedu;automaat;10/2001;bensiin;1.6 V8 (75 kW);198 000 km ·;1200 EUR;1000 EUR;https://www.auto24.ee/used/3417234
Audi;A6;tumehall;esivedu;manuaal;08/1998;bensiin;1.8 (92 kW);300 000 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3421821
Audi;A6;must;esivedu;manuaal;09/1997;diisel;1.9 (81 kW);465 000 km;1000 EUR;;https://www.auto24.ee/used/3420337
