BMW;525;sinine met.;tagavedu;automaat (5 Käiku);02/2001;diisel;2.5 Common-Rail (120 kW);302 000 km ·;1999 EUR;;https://www.auto24.ee/used/3056614
BMW;730;roheline met.;tagavedu;automaat;10/1999;diisel;2.9 (120 kW);;2500 EUR;1999 EUR;https://www.auto24.ee/used/3050768
BMW;318;hall met.;tagavedu;manuaal;05/2003;diisel;1.8 TDI (85 kW);236 230 km;2200 EUR;2000 EUR;https://www.auto24.ee/used/2991895
BMW;318;tumesinine met.;tagavedu;manuaal;06/2000;bensiin;1.9 (87 kW);370 000 km;2400 EUR;2000 EUR;https://www.auto24.ee/used/2969355
BMW;318;must met. (Cosmosschwarz Metallic 303);tagavedu;automaat;05/1996;bensiin;1.8 I (85 kW);179 000 km;3000 EUR;2000 EUR;https://www.auto24.ee/used/3056254
BMW;320;must;tagavedu;manuaal;04/2002;diisel;2.0 (110 kW);322 000 km;2000 EUR;;https://www.auto24.ee/used/2916131
BMW;328;helehall met.;tagavedu;manuaal;04/1998;bensiin;2.8 (142 kW);214 000 km;2000 EUR;;https://www.auto24.ee/used/2550904
BMW;523;must;tagavedu;manuaal;07/1996;bensiin;2.5 R6 (125 kW);333 000 km;2200 EUR;2000 EUR;https://www.auto24.ee/used/3025341
BMW;525;hall;tagavedu;manuaal;03/1989;bensiin;2.5 r6 (125 kW);;2000 EUR;;https://www.auto24.ee/used/2997174
BMW;316;hall (Stahlgrau Metallic);tagavedu;automaat;02/2003;bensiin;1.8 (85 kW);185 000 km;2499 EUR;2099 EUR;https://www.auto24.ee/used/3051354
BMW;320;must;tagavedu;manuaal (6 käiku);07/2003;diisel;2.0 (110 kW);370 000 km;2200 EUR;2099 EUR;https://www.auto24.ee/used/3049311
BMW;316;must;tagavedu;manuaal;2000;bensiin;1.9 (77 kW);312 000 km;2100 EUR;;https://www.auto24.ee/used/3053986
BMW;330;hõbedane;nelikvedu;manuaal;10/2000;bensiin;3.0 r6 (170 kW);299 000 km;2700 EUR;2100 EUR;https://www.auto24.ee/used/3058425
BMW;525;tumesinine;tagavedu;automaat;2000;bensiin;2.5 (141 kW);290 000 km;2600 EUR;2100 EUR;https://www.auto24.ee/used/2722476
BMW;525;punane;;manuaal;07/1996;diisel;2.5 (105 kW);;2100 EUR;;https://www.auto24.ee/used/3063146
BMW;530;;tagavedu;automaat;04/2000;diisel;2.9 (135 kW);;2300 EUR;2100 EUR;https://www.auto24.ee/used/3058481
BMW;323;sinine met.;tagavedu;manuaal;02/1996;bensiin;2.5 R6 (125 kW);285 000 km;2800 EUR;2150 EUR;https://www.auto24.ee/used/3047025
BMW;316;hõbedane;tagavedu;automaat;03/2003;bensiin;1.8 (85 kW);222 201 km;2699 EUR;2199 EUR;https://www.auto24.ee/used/2584333
BMW;320;hall;tagavedu;manuaal;03/2004;bensiin;2.2 (125 kW);350 000 km;2700 EUR;2200 EUR;https://www.auto24.ee/used/3001205
BMW;320;sinine;tagavedu;automaat;07/2002;diisel;2.0 (110 kW);369 399 km;2300 EUR;2200 EUR;https://www.auto24.ee/used/2961396
BMW;525;roheline;tagavedu;automaat;02/2001;diisel;2.5 (120 kW);333 333 km;2500 EUR;2200 EUR;https://www.auto24.ee/used/3018819
BMW;525;tumehall met.;tagavedu;automaat;07/2001;diisel;2.5 (120 kW);345 000 km;3000 EUR;2200 EUR;https://www.auto24.ee/used/3045854
BMW;530;must;tagavedu;manuaal;10/1999;diisel;2.9 (135 kW);;2650 EUR;2200 EUR;https://www.auto24.ee/used/3061760
BMW;530;must;tagavedu;automaat;10/2000;diisel;2.9 (142 kW);500 000 km;2600 EUR;2200 EUR;https://www.auto24.ee/used/3013390
BMW;530;tumesinine;tagavedu;automaat;05/2001;diisel;2.9 (142 kW);350 000 km;2200 EUR;;https://www.auto24.ee/used/3064150
BMW;530;must met. (süsimust);tagavedu;automaat (tiptronic 5k.);2000;diisel;3.0 R6 TDI (135 kW);283 000 km;2500 EUR;2200 EUR;https://www.auto24.ee/used/3064203
BMW;730;hõbedane;tagavedu;automaat;09/1999;diisel;2.9 TDI (135 kW);350 000 km;2300 EUR;2200 EUR;https://www.auto24.ee/used/2988917
BMW;320;tumesinine met.;tagavedu;manuaal;06/2003;diisel;2.0;275 000 km ·;2999 EUR;2250 EUR;https://www.auto24.ee/used/2826294
