Alfa Romeo;147;must met.;esivedu;manuaal;11/2006;diisel;1.9 Jtdm (88 kW);169 000 km ·;2900 EUR;2450 EUR;https://www.auto24.ee/used/3076504
Alfa Romeo;GT;hõbedane met.;esivedu;manuaal;2004;bensiin;2.0 Twin-cam (122 kW);183 000 km ·;;2800 EUR;https://www.auto24.ee/used/3038459
Alfa Romeo;159;punane met.;esivedu;manuaal;2006;diisel;2.4 R5 (147 kW);199 999 km ·;2999 EUR;;https://www.auto24.ee/used/3239561
Alfa Romeo;159;kuldne;esivedu;automaat;05/2008;bensiin;2.2 (136 kW);209 943 km;3799 EUR;3299 EUR;https://www.auto24.ee/used/3235572
Alfa Romeo;GT;must met.;esivedu;manuaal (6k);02/2006;diisel;1.9 jtd (110 kW);154 000 km;4000 EUR;3500 EUR;https://www.auto24.ee/used/3134256
Alfa Romeo;MiTo;must met.;esivedu;manuaal;04/2011;diisel;1.3 JTDM (70 kW);254 000 km ·;4600 EUR;3900 EUR;https://www.auto24.ee/used/3231612
Alfa Romeo;159;sinine;esivedu;manuaal;01/2009;diisel;1.9 (110 kW);172 500 km;4700 EUR;4500 EUR;https://www.auto24.ee/used/3225165
Alfa Romeo;159;hall met.;esivedu;manuaal;06/2008;diisel;1.9 (88 kW);106 195 km ·;5100 EUR;4890 EUR;https://www.auto24.ee/used/3123714
Alfa Romeo;159;valge;esivedu;manuaal;09/2011;diisel;2.0 (100 kW);157 000 km;6500 EUR;5300 EUR;https://www.auto24.ee/used/3165643
Alfa Romeo;159;must;nelikvedu;manuaal;03/2007;bensiin;3.2 JTS (191 kW);158 000 km ·;7000 EUR;;https://www.auto24.ee/used/3239096
Alfa Romeo;Spider;must;tagavedu;manuaal;02/1988;bensiin;2.0 (93 kW);195 219 km;8500 EUR;7000 EUR;https://www.auto24.ee/used/3140275
Alfa Romeo;Giulietta;tumehall met.;esivedu;manuaal;02/2011;diisel;2.0 JTDm2 (125 kW);205 000 km ·;8900 EUR;8400 EUR;https://www.auto24.ee/used/3176403
Alfa Romeo;Giulietta;valge (Elevandiluu);esivedu;manuaal;04/2012;bensiin;1.7 (173 kW);74 000 km;12 500 EUR;9499 EUR;https://www.auto24.ee/used/3158270
Alfa Romeo;147;valge (Bianco Nuvola VR Pearl);esivedu;manuaal;09/2003;bensiin;3.2 V6 (184 kW);154 000 km ·;11 900 EUR;;https://www.auto24.ee/used/3245520
Alfa Romeo;Giulia;sinine met. (Montecarlo Blue Metallic);tagavedu;automaat (8 käiguline);12/2017;diisel;2.2 (110 kW);27 320 km;26 500 EUR;;https://www.auto24.ee/used/3193336
Alfa Romeo;Giulia;tumehall met. ("Grey / COLEST409 - COLORE ESTERNO (AZZURRO)");nelikvedu;automaat (8k, käiguvahetus ka roolilt);02/2017;diisel;2.2 R4 Multijet II (154 kW);84 400 km ·;28 300 EUR;27 300 EUR;https://www.auto24.ee/used/3187366
Alfa Romeo;Giulia;tumehall (tumehall met. (Grigio Vesuvio));tagavedu;automaat;08/2017;bensiin;2.0 r4 (147 kW);14 300 km;28 900 EUR;28 000 EUR;https://www.auto24.ee/used/3166527
Alfa Romeo;Giulia;punane;tagavedu;automaat;08/2017;bensiin;2.0 Turbo (147 kW);29 107 km ·;28 900 EUR;;https://www.auto24.ee/used/3233604
Alfa Romeo;Giulia;hall met. (Silverstone Grey );tagavedu;automaat (8-käiguline);08/2019;diisel;2.2 R4 (132 kW);10 km ·;48 777 EUR;41 500 EUR;https://www.auto24.ee/used/3213669
Alfa Romeo;Giulia;sinine met.;nelikvedu;automaat (8-käiguline);07/2019;diisel;2.1 R4 (154 kW);6500 km ·;49 911 EUR;44 900 EUR;https://www.auto24.ee/used/3208179
Alfa Romeo;Stelvio;must met. (Vulcano Black);nelikvedu;automaat (8-käiguline);;diisel;2.2 (154 kW);1 km ·;54 542 EUR;47 800 EUR;https://www.auto24.ee/used/3213622
Alfa Romeo;Stelvio;punane met. (Rosso Competizione);nelikvedu;automaat;06/2019;bensiin;2.9 V6 (375 kW);6000 km;87 900 EUR;;https://www.auto24.ee/used/3196283
