Audi;A6;must;esivedu;manuaal;10/2000;bensiin;2.4 (121 kW);299 000 km;;650 EUR;https://www.auto24.ee/used/3402321
Audi;S4;lilla;nelikvedu;manuaal;;;2.2 r5 (169 kW);100 000 km;1500 EUR;650 EUR;https://www.auto24.ee/used/3399555
Audi;A4;hõbedane;esivedu;manuaal;07/1995;bensiin;1.6 (74 kW);;1000 EUR;690 EUR;https://www.auto24.ee/used/3395703
Audi;80;tumeroheline;esivedu;;05/1993;bensiin;2.0 R4 (66 kW);209 000 km;1000 EUR;700 EUR;https://www.auto24.ee/used/3392986
Audi;A4;hõbedane;esivedu;manuaal;1995;bensiin;1.8 (92 kW);322 000 km;950 EUR;700 EUR;https://www.auto24.ee/used/3402623
Audi;A4;sinine;esivedu;manuaal;11/1998;diisel;1.9 (66 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3384270
Audi;A6;tumeroheline;esivedu;manuaal;04/1999;diisel;1.9 (81 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3405521
Audi;A4;tumesinine;esivedu;manuaal;06/1997;bensiin;1.8 (92 kW);;850 EUR;750 EUR;https://www.auto24.ee/used/3391303
Audi;A6;tumepunane;esivedu;manuaal;02/1998;bensiin;2.4 (121 kW);414 800 km;;750 EUR;https://www.auto24.ee/used/3387243
Audi;A4;hall met.;esivedu;automaat;06/2003;bensiin;1.8 T (120 kW);399 000 km;795 EUR;;https://www.auto24.ee/used/3336364
Audi;90;punane met.;esivedu;manuaal;1991;bensiin;2.3 R5 (98 kW);249 000 km;1500 EUR;800 EUR;https://www.auto24.ee/used/2033467
Audi;A4;must;esivedu;manuaal;11/1997;diisel;1.9 TDI (66 kW);;800 EUR;;https://www.auto24.ee/used/3403823
Audi;A6;hõbedane met.;esivedu;manuaal;07/1998;bensiin;2.4 V6 24V ALF (121 kW);213 297 km;1200 EUR;800 EUR;https://www.auto24.ee/used/3381162
Audi;100;tumesinine met.;;automaat;1992;bensiin;2.3 (98 kW);;900 EUR;850 EUR;https://www.auto24.ee/used/3400119
Audi;A4;tumeroheline (LZ6L);esivedu;automaat;03/2000;bensiin;2.8 B5 (142 kW);315 677 km ·;1000 EUR;850 EUR;https://www.auto24.ee/used/3398325
Audi;A6;tumesinine;esivedu;manuaal;1996;diisel;2.5 R5 (85 kW);588 000 km;950 EUR;850 EUR;https://www.auto24.ee/used/3374635
Audi;A6;must;esivedu;automaat;05/1999;diisel;2.5 (110 kW);291 km ·;890 EUR;;https://www.auto24.ee/used/3404110
Audi;A3;hõbedane met.;esivedu;automaat;11/1996;bensiin;1.8 (92 kW);223 000 km;899 EUR;;https://www.auto24.ee/used/3398594
Audi;80;tumesinine;esivedu;manuaal;1993;bensiin;2.0 (66 kW);305 000 km;1000 EUR;900 EUR;https://www.auto24.ee/used/3399018
Audi;A3;roheline met.;esivedu;manuaal;09/1999;bensiin;1.6 (74 kW);280 000 km;1250 EUR;900 EUR;https://www.auto24.ee/used/3400078
Audi;A6;tumeroheline;esivedu;manuaal;02/1998;diisel;2.5 (110 kW);464 000 km;900 EUR;;https://www.auto24.ee/used/3402889
Audi;A6;hall;esivedu;manuaal;1995;bensiin;2.0 (85 kW);;1100 EUR;950 EUR;https://www.auto24.ee/used/3394008
Audi;A4;punane;nelikvedu;manuaal;04/1997;bensiin;2.6 V6 (110 kW);269 000 km;1200 EUR;999 EUR;https://www.auto24.ee/used/2290730
Audi;A4;must;esivedu;automaat;06/1997;diisel;1.9 R4 (81 kW);303 000 km;1300 EUR;999 EUR;https://www.auto24.ee/used/3401506
Audi;A6;hall met.;esivedu;manuaal;07/1996;bensiin;2.6 (110 kW);189 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3355421
Audi;A6;hõbedane met.;esivedu;manuaal;12/2000;bensiin;2.4 v6 (121 kW);270 000 km ·;1499 EUR;999 EUR;https://www.auto24.ee/used/3398247
Audi;A6;tumesinine;esivedu;manuaal;05/2000;bensiin;2.4 (121 kW);267 000 km;1499 EUR;999 EUR;https://www.auto24.ee/used/3403874
Audi;100;punane;esivedu;manuaal;1988;diisel;2.0 R5 (64 kW);353 000 km;1000 EUR;;https://www.auto24.ee/used/3406396
Audi;A3;hõbedane (Hõbe);esivedu;manuaal;03/2000;bensiin;1.6 8L (74 kW);271 000 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3370291
Audi;A4;tumesinine;esivedu;manuaal;02/1998;bensiin;1.8 (92 kW);318 000 km;1000 EUR;;https://www.auto24.ee/used/3403237
Audi;A4;sinine;esivedu;manuaal;;bensiin;2.4 v6 (125 kW);277 000 km;1500 EUR;1000 EUR;https://www.auto24.ee/used/1732029
Audi;A6;tumesinine (tumesinine);nelikvedu;automaat;04/2000;diisel;2.5 TDI (132 kW);448 202 km;1000 EUR;;https://www.auto24.ee/used/3398855
Audi;A6;;esivedu;automaat;09/2001;diisel;2.5 (132 kW);280 000 km;1599 EUR;1099 EUR;https://www.auto24.ee/used/3403254
Audi;A6;must;esivedu;manuaal;06/1997;bensiin;1.8 T (110 kW);321 000 km;1100 EUR;;https://www.auto24.ee/used/3391817
Audi;80;punane;esivedu;manuaal;1991;diisel;1.9 (50 kW);265 000 km;1500 EUR;1150 EUR;https://www.auto24.ee/used/3379008
Audi;A4;must;nelikvedu;automaat (Tiptronic);02/1998;bensiin;2.8 V6 (142 kW);212 500 km;1299 EUR;1150 EUR;https://www.auto24.ee/used/3389591
Audi;A2;hõbedane;esivedu;manuaal;09/2000;bensiin;1.4 (55 kW);225 000 km;1199 EUR;;https://www.auto24.ee/used/3401429
Audi;A4;tumesinine;esivedu;manuaal;12/1999;diisel;2.5 TDI (110 kW);215 735 km ·;1700 EUR;1200 EUR;https://www.auto24.ee/used/2512051
Audi;A6;helebeež met.;esivedu;manuaal;02/1998;diisel;1.9 TDI (81 kW);360 000 km;1400 EUR;1200 EUR;https://www.auto24.ee/used/3402588
Audi;A6;hall;esivedu;manuaal;01/2001;bensiin;2.4 V6 (121 kW);220 000 km;1500 EUR;1200 EUR;https://www.auto24.ee/used/3402270
Audi;A8;hall met.;esivedu;automaat;08/2000;bensiin;2.8 (142 kW);;1400 EUR;1200 EUR;https://www.auto24.ee/used/3404081
Audi;100;valge;esivedu;;1984;bensiin;1.8 (66 kW);415 000 km;1250 EUR;;https://www.auto24.ee/used/3393492
Audi;A3;punane met.;esivedu;manuaal (6);07/2003;diisel;2.0 (103 kW);370 000 km;2300 EUR;1250 EUR;https://www.auto24.ee/used/3400024
Audi;A6;tumesinine;nelikvedu;manuaal;01/1999;bensiin;2.8 (142 kW);325 000 km;1599 EUR;1299 EUR;https://www.auto24.ee/used/3334007
Audi;A2;hõbedane;esivedu;manuaal;11/2001;bensiin;1.4 (55 kW);;1600 EUR;1300 EUR;https://www.auto24.ee/used/3356608
Audi;A3;must;esivedu;manuaal;08/2000;diisel;1.9 R4 (66 kW);306 000 km;1600 EUR;1300 EUR;https://www.auto24.ee/used/3405457
Audi;A4;must;esivedu;manuaal;12/2001;diisel;1.9 TDI (85 kW);277 000 km;;1300 EUR;https://www.auto24.ee/used/3396092
Audi;A6;helesinine;nelikvedu;;05/2000;bensiin;2.8 (142 kW);260 000 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3402215
Audi;A6;tumeroheline;nelikvedu;automaat;1996;bensiin;2.8 V6 (128 kW);467 000 km;1600 EUR;1350 EUR;https://www.auto24.ee/used/3360838
Audi;A6;must met.;esivedu;manuaal;03/2000;bensiin;2.4 (121 kW);366 555 km ·;1800 EUR;1360 EUR;https://www.auto24.ee/used/3403297
Audi;A4;hõbedane met.;esivedu;manuaal;05/1995;bensiin;1.6 (74 kW);203 000 km ·;1390 EUR;;https://www.auto24.ee/used/3402121
Audi;A4;sinine;esivedu;automaat;12/2004;diisel;1.9 TDI (96 kW);365 000 km;1399 EUR;;https://www.auto24.ee/used/3396477
Audi;A3;tumepunane;esivedu;automaat;04/1998;bensiin;1.8 (110 kW);208 000 km;1400 EUR;;https://www.auto24.ee/used/3405957
Audi;A3;helehall;esivedu;manuaal;09/2003;bensiin;2.0 (110 kW);231 000 km;1400 EUR;;https://www.auto24.ee/used/3403258
Audi;A4;roheline met.;esivedu;manuaal;12/2001;bensiin;1.8 (110 kW);250 000 km;2000 EUR;1400 EUR;https://www.auto24.ee/used/3397403
Audi;A6;tumesinine met.;esivedu;manuaal;04/2001;bensiin;1.8 (110 kW);268 000 km;1450 EUR;;https://www.auto24.ee/used/3346139
Audi;A6;must met.;esivedu;automaat;11/2004;diisel;2.5 TDI (120 kW);329 000 km;1499 EUR;;https://www.auto24.ee/used/3404168
Audi;A4;punane;esivedu;automaat;07/2003;bensiin;1.8 Turbo (120 kW);249 761 km;1600 EUR;1500 EUR;https://www.auto24.ee/used/3404094
Audi;A6;hõbedane;esivedu;automaat;11/1997;diisel;1.9 (81 kW);434 361 km;2500 EUR;1500 EUR;https://www.auto24.ee/used/3393826
Audi;A6;must;esivedu;automaat;10/2002;diisel;2.5 (120 kW);291 000 km;1500 EUR;;https://www.auto24.ee/used/3402089
Audi;A6;roheline;esivedu;manuaal;05/1995;diisel;2.5 (103 kW);260 000 km;1600 EUR;1500 EUR;https://www.auto24.ee/used/3393699
Audi;A6;hõbedane met.;esivedu;poolautomaat;03/2004;diisel;2.5 (120 kW);294 000 km;1500 EUR;;https://www.auto24.ee/used/3403136
Audi;A6;hõbedane;esivedu;manuaal;09/1996;diisel;2.5 16v (103 kW);338 000 km;1500 EUR;;https://www.auto24.ee/used/3400116
Audi;A6;hall met.;nelikvedu;automaat;10/2000;diisel;2.5 TDI (132 kW);320 200 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3389372
Audi;A6;tumehall met.;esivedu;manuaal;12/2001;bensiin;2.4 V6 (125 kW);314 000 km ·;1500 EUR;;https://www.auto24.ee/used/3406155
Audi;A8;tumesinine;esivedu;automaat (Tiptronic);03/1998;bensiin;2.8 V6 (142 kW);387 720 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/2805157
Audi;A3;tumehall;esivedu;manuaal;06/2003;diisel;2.0 TDI (103 kW);305 000 km;1800 EUR;1600 EUR;https://www.auto24.ee/used/3392272
Audi;A4;sinine met.;esivedu;manuaal;2000;bensiin;1.6 (75 kW);195 100 km;2500 EUR;1600 EUR;https://www.auto24.ee/used/3401578
Audi;A3;must;nelikvedu;manuaal;11/1999;bensiin;1.8 T (132 kW);308 000 km;2000 EUR;1650 EUR;https://www.auto24.ee/used/2819955
Audi;A4;tumesinine met.;esivedu;manuaal;10/2002;bensiin;2.0 (96 kW);;1900 EUR;1650 EUR;https://www.auto24.ee/used/3393419
Audi;A4;valge;nelikvedu;manuaal;03/1998;diisel;1.9 (81 kW);296 000 km;1990 EUR;1650 EUR;https://www.auto24.ee/used/3376250
Audi;A6;sinine met.;esivedu;manuaal;05/2000;diisel;2.5 (110 kW);;1650 EUR;;https://www.auto24.ee/used/3387959
