Audi;A4;sinine;esivedu;automaat;12/2004;diisel;1.9 TDI (96 kW);365 000 km;1399 EUR;;https://www.auto24.ee/used/3396477,
Audi;A3;tumepunane;esivedu;automaat;04/1998;bensiin;1.8 (110 kW);208 000 km;1400 EUR;;https://www.auto24.ee/used/3405957,
Audi;A3;helehall;esivedu;manuaal;09/2003;bensiin;2.0 (110 kW);231 000 km;1400 EUR;;https://www.auto24.ee/used/3403258,
Audi;A4;roheline met.;esivedu;manuaal;12/2001;bensiin;1.8 (110 kW);250 000 km;2000 EUR;1400 EUR;https://www.auto24.ee/used/3397403,
Audi;A6;tumesinine met.;esivedu;manuaal;04/2001;bensiin;1.8 (110 kW);268 000 km;1450 EUR;;https://www.auto24.ee/used/3346139,
Audi;A6;must met.;esivedu;automaat;11/2004;diisel;2.5 TDI (120 kW);329 000 km;1499 EUR;;https://www.auto24.ee/used/3404168,
Audi;A4;punane;esivedu;automaat;07/2003;bensiin;1.8 Turbo (120 kW);249 761 km;1600 EUR;1500 EUR;https://www.auto24.ee/used/3404094,
Audi;A6;hõbedane;esivedu;automaat;11/1997;diisel;1.9 (81 kW);434 361 km;2500 EUR;1500 EUR;https://www.auto24.ee/used/3393826,
Audi;A6;must;esivedu;automaat;10/2002;diisel;2.5 (120 kW);291 000 km;1500 EUR;;https://www.auto24.ee/used/3402089,
Audi;A6;roheline;esivedu;manuaal;05/1995;diisel;2.5 (103 kW);260 000 km;1600 EUR;1500 EUR;https://www.auto24.ee/used/3393699,
Audi;A6;hõbedane met.;esivedu;poolautomaat;03/2004;diisel;2.5 (120 kW);294 000 km;1500 EUR;;https://www.auto24.ee/used/3403136,
Audi;A6;hõbedane;esivedu;manuaal;09/1996;diisel;2.5 16v (103 kW);338 000 km;1500 EUR;;https://www.auto24.ee/used/3400116,
Audi;A6;hall met.;nelikvedu;automaat;10/2000;diisel;2.5 TDI (132 kW);320 200 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3389372,
Audi;A6;tumehall met.;esivedu;manuaal;12/2001;bensiin;2.4 V6 (125 kW);314 000 km ·;1500 EUR;;https://www.auto24.ee/used/3406155,
Audi;A8;tumesinine;esivedu;automaat (Tiptronic);03/1998;bensiin;2.8 V6 (142 kW);387 720 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/2805157,
Audi;A3;tumehall;esivedu;manuaal;06/2003;diisel;2.0 TDI (103 kW);305 000 km;1800 EUR;1600 EUR;https://www.auto24.ee/used/3392272,
Audi;A4;sinine met.;esivedu;manuaal;2000;bensiin;1.6 (75 kW);195 100 km;2500 EUR;1600 EUR;https://www.auto24.ee/used/3401578,
Audi;A3;must;nelikvedu;manuaal;11/1999;bensiin;1.8 T (132 kW);308 000 km;2000 EUR;1650 EUR;https://www.auto24.ee/used/2819955,
Audi;A4;tumesinine met.;esivedu;manuaal;10/2002;bensiin;2.0 (96 kW);;1900 EUR;1650 EUR;https://www.auto24.ee/used/3393419,
Audi;A4;valge;nelikvedu;manuaal;03/1998;diisel;1.9 (81 kW);296 000 km;1990 EUR;1650 EUR;https://www.auto24.ee/used/3376250,
Audi;A6;sinine met.;esivedu;manuaal;05/2000;diisel;2.5 (110 kW);;1650 EUR;;https://www.auto24.ee/used/3387959,
Audi;80;helehall;nelikvedu;;03/1994;bensiin;2.0 16V (103 kW);246 500 km;1690 EUR;;https://www.auto24.ee/used/3405921,
Audi;A6;hall;nelikvedu;manuaal;03/1999;bensiin;1.8 (110 kW);270 000 km;2150 EUR;1699 EUR;https://www.auto24.ee/used/3406139,
Audi;A2;must;esivedu;manuaal;01/2002;bensiin;1.4 (55 kW);238 309 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/3380800,
Audi;A3;must;esivedu;manuaal;05/2004;bensiin;1.6 (75 kW);242 000 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/3359719,
Audi;A3;helesinine;esivedu;manuaal;02/2002;diisel;1.9 (96 kW);352 000 km;1700 EUR;;https://www.auto24.ee/used/3405787,
Audi;A4;tumesinine;nelikvedu;manuaal;07/2004;diisel;2.5 BAU (132 kW);430 000 km ·;1900 EUR;1700 EUR;https://www.auto24.ee/used/2637121,
Audi;A6;must;nelikvedu;automaat;08/2004;diisel;2.5 (132 kW);;2300 EUR;1700 EUR;https://www.auto24.ee/used/3405846,
Audi;Coupe;must met.;esivedu;manuaal;1989;bensiin;2.3 r5;;1700 EUR;;https://www.auto24.ee/used/3184853,
Audi;A6;hõbedane met.;esivedu;automaat;11/2003;diisel;1.9 TDI (96 kW);309 148 km;1960 EUR;1750 EUR;https://www.auto24.ee/used/3366003,
Audi;A6;hõbedane met.;nelikvedu;automaat;01/2001;diisel;2.5 (132 kW);266 000 km;1750 EUR;;https://www.auto24.ee/used/3204171,
Audi;A4;must met.;esivedu;manuaal;09/2002;diisel;1.9 TDI (74 kW);;2200 EUR;1790 EUR;https://www.auto24.ee/used/3402715,
