Audi;A4;hõbedane;esivedu;manuaal;11/2003;bensiin;2.0 (96 kW);248 300 km ·;1850 EUR;;https://www.auto24.ee/used/3012837
Audi;A4;tumesinine met.;esivedu;automaat;03/1999;bensiin;2.4 V6 (121 kW);317 000 km ·;2000 EUR;1850 EUR;https://www.auto24.ee/used/3347605
Audi;Allroad;heleroheline met. (FORELL);nelikvedu;automaat (Tip-TRONIK);11/2003;diisel;2.5 TDI (132 kW);336 000 km;2600 EUR;1890 EUR;https://www.auto24.ee/used/3346671
Audi;A4;hall met.;;manuaal (6k);05/2003;bensiin;1.8 TURBO BEX S-Line (140 kW);350 000 km;2300 EUR;1899 EUR;https://www.auto24.ee/used/3279688
Audi;A4;hõbedane;esivedu;automaat;06/2004;bensiin + gaas (LPG/vedelgaas);1.8 (120 kW);263 000 km;1899 EUR;;https://www.auto24.ee/used/3348204
Audi;A4;sinine;nelikvedu;automaat;05/2001;bensiin;3.0 (162 kW);;2900 EUR;1900 EUR;https://www.auto24.ee/used/3036584
Audi;A6;helehall met.;nelikvedu;automaat (Tiptronic);01/2004;diisel;2.5 (132 kW);333 000 km;2500 EUR;1900 EUR;https://www.auto24.ee/used/2983151
Audi;A6;must met.;esivedu;automaat (CVT);04/2003;diisel;1.9 TDI (96 kW);309 000 km ·;2200 EUR;1900 EUR;https://www.auto24.ee/used/3342210
Audi;Allroad;must met.;nelikvedu;automaat (ATM);04/2001;diisel;2.5 TDI (132 kW);369 000 km;2400 EUR;1900 EUR;https://www.auto24.ee/used/3348596
Audi;A6;must;esivedu;automaat;10/2001;bensiin;2.4 (125 kW);280 000 km;2500 EUR;1949 EUR;https://www.auto24.ee/used/3319450
Audi;A6;hall met.;nelikvedu;manuaal;03/2003;bensiin;2.4 (125 kW);342 500 km;2100 EUR;1950 EUR;https://www.auto24.ee/used/3344153
Audi;A4;must;esivedu;manuaal;05/2004;diisel;1.9 (96 kW);395 100 km;2100 EUR;1980 EUR;https://www.auto24.ee/used/3341322
Audi;A6;tumesinine met.;esivedu;manuaal;04/2001;bensiin;1.8 (110 kW);266 100 km;1985 EUR;;https://www.auto24.ee/used/3346139
